"","X","customer_no","Contribution_cont_amt","Contribution_campaign_name","Contribution_cont_dt","Constituency_1","Constituency_2","Constituency_3","Constituency_4","Constituency_5","Constituency_6","Address_postal_code","cont_yr","cont_month","clean_zips","lat","long"
"6140",6140,82501,100,"CLd14 Wine Tasting & Auction","8/18/2002 0:00","bwS",NA,NA,NA,NA,NA,"15212-3462",2015,11,15670,40.408295,-79.43967
"6141",6141,3160839,25,"CLd08 Annual Fund","8/4/2011 0:00","clS",NA,NA,NA,NA,NA,"15010-9783",2010,3,44514,41.016159,-80.61549
"6142",6142,3019189,25,"CLd15 Annual Fund","4/17/2015 0:00",NA,NA,NA,NA,NA,NA,"15068-4731",2013,3,15221,40.438035,-79.87191
"6143",6143,49411,25,"CLd16 Annual Fund","3/15/2006 0:00","clS","ptT",NA,NA,NA,NA,"15215-1567",1997,1,15477,40.079169,-79.86448
"6144",6144,3323217,50,"CLd14 Annual Fund","5/1/2009 0:00",NA,NA,"ptT",NA,NA,NA,"15106-2048",2012,8,15211,40.428369,-80.01269
"6145",6145,3131279,60,"CLd16 Annual Fund","6/17/2010 0:00",NA,"opT",NA,NA,NA,NA,"15220-2607",1999,2,15236,40.342869,-79.97929
"6146",6146,3512963,50,"CLd08 Annual Fund - Turnbacks","5/25/2010 0:00",NA,"ptT",NA,NA,NA,NA,"15003-1756",2014,4,15419,40.063977,-79.89261
"6147",6147,3011450,700,"CLd16 Wine Tasting & Auction","1/9/2003 0:00","clS",NA,NA,NA,NA,NA,"15601-9008",2013,8,15209,40.492618,-79.97458
"6148",6148,117529,50,"CLd15 Annual Fund","8/31/2012 0:00","clS",NA,NA,NA,NA,NA,"15215-1135",2016,6,15367,40.261394,-80.05254
"6149",6149,101874,25,"CLd14 Annual Fund","3/16/2011 0:00","clS",NA,"btS",NA,NA,NA,"15601-1202",2014,5,15222,40.447036,-79.99313
"6150",6150,517240,36,"CLd14 Taste for Talent","11/7/2008 0:00","ptS",NA,NA,NA,NA,NA,"15601-4610",2011,2,15005,40.641066,-80.20599
"6151",6151,3150429,25,"CLd16 Annual Fund","5/20/2013 0:00","bwS",NA,NA,NA,NA,NA,"15301-8577",2016,10,15090,40.617016,-80.05916
"6152",6152,3142190,30,"CLd10 Annual Fund - Turnback","11/20/2003 0:00",NA,NA,NA,NA,NA,NA,"15211-1925",2016,10,16150,41.266185,-80.46312
"6153",6153,170741,25,"CLd13 Annual Fund","12/21/2012 0:00",NA,NA,NA,NA,NA,NA,"15243-1146",2016,8,15241,40.329619,-80.07364
"6154",6154,234011,250,"CLd14 Annual Fund","5/8/2006 0:00","clS",NA,NA,NA,NA,NA,"16830-1806",1999,2,15063,40.196694,-79.92642
"6155",6155,3384742,100,"CLd16 Annual Fund","8/17/2011 0:00",NA,NA,NA,NA,NA,NA,"15227-1134",1999,9,15221,40.438035,-79.87191
"6156",6156,3090162,25,"CLd08 Wine Tasting & Auction","9/20/2016 0:00",NA,"clS","ptT",NA,NA,NA,"15206-2149",2014,11,16001,40.877664,-79.9113
"6157",6157,3125586,100,"CLd07 Wine Tasting & Auction","4/2/2012 0:00","clS",NA,NA,NA,NA,NA,"15215-1524",2005,11,15241,40.329619,-80.07364
"6158",6158,3022056,100,"CLd98 Annual Fund","9/24/2013 0:00","btS",NA,NA,NA,NA,NA,"15216-2701",2012,11,15009,40.695281,-80.3299
"6159",6159,3572864,227,"CLd16 Cerveris Cabaret Event","8/18/2003 0:00","btS",NA,NA,NA,NA,NA,"15090-8505",2010,11,15218,40.424336,-79.88725
"6160",6160,3611733,10,"CLd17 Taste for Talent","5/31/2016 0:00","clS",NA,"btS",NA,"ptS",NA,"94708-1909",2005,5,15108,40.500665,-80.18464
"6161",6161,3384877,50,"CLd12 Annual Fund","9/30/2014 0:00",NA,NA,NA,"ptS",NA,NA,"43920-4274",2005,1,15133,40.332502,-79.8646
"6162",6162,3713398,50,"CLd16 Annual Fund","8/22/2016 0:00","bwS","poS",NA,NA,NA,NA,"32821-6411",2003,11,15218,40.424336,-79.88725
"6163",6163,560891,150,"CLd10 Wine Tasting & Auction","3/4/2016 0:00","bwS","btS",NA,NA,NA,NA,"15217-1131",2014,10,15216,40.400319,-80.03566
"6164",6164,229935,50,"CLd12 Annual Fund","4/14/2015 0:00",NA,NA,NA,NA,NA,NA,"15090-7395",2011,11,15241,40.329619,-80.07364
"6165",6165,97319,50,"CLd04 Academy Fund","2/20/2014 0:00","ptT",NA,NA,NA,NA,NA,"15217-1529",2000,9,15212,40.460669,-80.01144
"6166",6166,261438,100,"CLd11 Academy Fund","5/15/2001 0:00","btS",NA,"btS","poS",NA,NA,"15085-1629",1996,6,15108,40.500665,-80.18464
"6167",6167,3469281,50,"CLd10 Annual Fund","8/16/2012 0:00","bwS",NA,NA,NA,NA,NA,"43912-9792",2016,7,21502,39.646587,-78.77398
"6168",6168,3994046,100,"CLd15 Annual Fund","9/23/2014 0:00","btS",NA,NA,NA,NA,NA,"15243-1011",2016,9,15320,39.883336,-79.98393
"6169",6169,489528,10,"CLd02 Annual Fund","2/11/2008 0:00",NA,NA,NA,NA,NA,NA,"15143-8734",2008,4,15217,40.430919,-79.92569
"6170",6170,3376947,100,"CLd04 Annual Fund","7/13/2016 0:00","btS",NA,NA,NA,NA,NA,"15102-1091",2016,10,15650,40.299646,-79.38845
"6171",6171,235779,100,"CLd14 Annual Fund","2/13/2008 0:00",NA,NA,NA,NA,NA,NA,"15220-3334",2004,3,15120,40.395336,-79.90635
"6172",6172,3066050,250,"CLd10 Annual Fund","8/12/2011 0:00","ptT",NA,NA,NA,NA,NA,"15085-1629",2013,7,15037,40.258438,-79.85946
"6173",6173,3564613,275,"CLd14 Annual Fund","8/9/2012 0:00",NA,NA,NA,NA,NA,NA,"15143-1831",2014,5,15116,40.533806,-79.96303
"6174",6174,191881,25,"CLd07 Annual Fund","7/31/2013 0:00",NA,NA,NA,NA,NA,NA,"15666-1449",2014,11,15239,40.482655,-79.74278
"6175",6175,3606709,25,"CLd17 Taste for Talent","11/27/2007 0:00",NA,NA,NA,NA,NA,NA,"15001-5207",2003,9,16105,41.038205,-80.34539
"6176",6176,3393523,2.75,"CLd08 Annual Fund","10/31/2008 0:00",NA,"btS",NA,NA,NA,NA,"15241-3326",2015,9,15241,40.329619,-80.07364
"6177",6177,115965,50,"CLd14 Annual Fund","9/29/2005 0:00","bwS",NA,NA,NA,NA,NA,"16059-2812",2013,8,15222,40.447036,-79.99313
"6178",6178,4097827,50,"CLd08 Annual Fund","8/25/2011 0:00","ptS",NA,NA,"ptS",NA,NA,"15146-3331",2015,7,16066,40.700423,-80.11374
"6179",6179,117529,100,"CLd06 Annual Fund","6/19/2013 0:00",NA,NA,NA,NA,NA,NA,"15025-3081",2006,5,16063,40.783001,-80.13343
"6180",6180,3842437,100,"CLd12 Annual Fund","8/12/2011 0:00",NA,NA,NA,NA,NA,NA,"15203-1978",2016,11,15106,40.404119,-80.09014
"6181",6181,3261077,25,"CLd16 Wine Tasting & Auction","11/30/2015 0:00",NA,NA,NA,NA,NA,NA,"15213-2640",2008,12,15090,40.617016,-80.05916
"6182",6182,3688784,100,"CLd06 Annual Fund","8/7/2014 0:00","ptT",NA,NA,NA,NA,NA,"15218-2318",2009,4,15668,40.451664,-79.67948
"6183",6183,109385,25,"CLd01 Annual Fund","10/30/2012 0:00","ptT",NA,NA,NA,NA,NA,"15419-1203",2015,8,15236,40.342869,-79.97929
"6184",6184,3792609,50,"CLd14 Taste for Talent","9/7/2011 0:00","ptS",NA,NA,NA,NA,NA,"15317-5018",2014,8,15201,40.471468,-79.95726
"6185",6185,179059,25,"CLd14 Annual Fund","3/4/2014 0:00",NA,"ptT",NA,NA,NA,NA,"32837-6745",1999,6,43952,40.371185,-80.63426
"6186",6186,242633,10,"CLd02 Annual Fund","12/5/2005 0:00",NA,NA,NA,NA,NA,NA,"15024-2234",2012,2,21502,39.646587,-78.77398
"6187",6187,3301251,100,"CLd99 Annual Fund","12/29/1997 0:00","clS","clS",NA,NA,NA,NA,"15135-2114",2016,10,15658,40.247351,-79.22882
"6188",6188,292821,50,"CLd13 Annual Fund","1/22/2016 0:00","btS",NA,NA,NA,NA,NA,"15146-4833",2006,6,15022,40.136537,-79.91321
"6189",6189,3713571,250,"CLd10 Annual Fund","4/27/2012 0:00",NA,"clS",NA,NA,NA,NA,"15106-4201",2014,2,15044,40.631011,-79.95766
"6190",6190,3002555,100,"CLd17 Wine Tasting & Auction","11/30/2005 0:00",NA,NA,"ptT",NA,NA,NA,"15108-2206",2016,2,15146,40.431034,-79.76526
"6191",6191,3456245,50,"CLd11 Annual Fund","7/7/2016 0:00","clS",NA,NA,NA,NA,NA,"15147-3882",2010,3,15228,40.372802,-80.0448
"6192",6192,102874,125,"CLd16 Annual Fund","9/30/2014 0:00",NA,NA,NA,NA,NA,NA,"15042-2839",2016,2,15212,40.460669,-80.01144
"6193",6193,3819275,25,"CLd14 Annual Fund","4/9/2015 0:00","clS","ptT","ptT",NA,NA,NA,"15009-1808",2013,9,15243,40.372669,-80.0712
"6194",6194,3648786,100,"CLd14 Annual Fund","10/30/2015 0:00","bwS","btS",NA,NA,NA,NA,"15221-4418",2005,6,15227,40.377869,-79.97516
"6195",6195,296526,25,"CLd16 Annual Fund","12/6/2015 0:00",NA,NA,NA,NA,NA,NA,"15237-2658",2016,10,15241,40.329619,-80.07364
"6196",6196,57794,5,"CLd16 Annual Fund","7/9/2014 0:00","bwS",NA,NA,NA,NA,NA,"15601-1317",2014,2,15101,40.570915,-79.96033
"6197",6197,3032101,50,"CLd14 Wine Tasting & Auction","10/30/1996 0:00",NA,NA,NA,NA,NA,NA,"15003-2276",2016,5,15668,40.451664,-79.67948
"6198",6198,518911,100,"CLd14 Annual Fund","10/4/2007 0:00","poS",NA,NA,NA,NA,NA,"15410-1145",2015,9,15210,40.409219,-79.98948
"6199",6199,3031432,50,"CLd12 Wine Tasting & Auction","10/27/2014 0:00",NA,NA,NA,NA,NA,NA,"15330-2807",2014,10,16063,40.783001,-80.13343
"6200",6200,666884,25,"CLd05 Annual Fund","11/8/2011 0:00",NA,NA,NA,NA,NA,NA,"15317-9723",2016,9,15108,40.500665,-80.18464
"6201",6201,3015571,25,"CLd11 Annual Fund","8/16/2012 0:00",NA,NA,NA,NA,NA,NA,"15044-9396",2003,9,15057,40.357286,-80.23629
"6202",6202,288027,25,"CLd14 Annual Fund","5/31/2011 0:00",NA,NA,NA,NA,NA,NA,"15644-9306",2006,8,15137,40.380219,-79.81017
"6203",6203,3003721,2500,"CLd11 Annual Fund - Turnback","12/19/2001 0:00","opT",NA,NA,NA,NA,NA,"16601-1523",2017,12,15236,40.342869,-79.97929
"6204",6204,3095907,50,"CLd15 Annual Fund","8/13/2014 0:00","clS",NA,NA,NA,NA,NA,"16001-2138",2014,7,15106,40.404119,-80.09014
"6205",6205,302285,150,"CLd10 Academy Fund","8/30/2013 0:00","bwS",NA,NA,NA,NA,NA,"15142-1153",2010,9,15222,40.447036,-79.99313
"6206",6206,3024059,25,"CLd16 Wine Tasting & Auction","3/5/2013 0:00","clS","clS",NA,NA,NA,NA,"15229-1209",2013,12,15068,40.571108,-79.74226
"6207",6207,416872,25,"CLd17 Annual Fund","10/31/2014 0:00",NA,NA,NA,NA,NA,NA,"15229-1072",2016,9,15101,40.570915,-79.96033
"6208",6208,262121,50,"CLd07 Annual Fund","2/19/2014 0:00","btS",NA,NA,NA,NA,NA,"15226-2027",2014,5,15224,40.463463,-79.94612
"6209",6209,180036,50,"CLd08 Annual Fund","12/16/2015 0:00",NA,NA,NA,NA,NA,NA,"16046-4011",2015,11,15139,40.519518,-79.83762
"6210",6210,4065254,50,"CLd07 Annual Fund","4/4/2013 0:00","opT",NA,NA,NA,NA,NA,"15241-2314",1996,5,16059,40.702289,-79.93733
"6211",6211,266106,35,"CLd13 Annual Fund","12/30/2011 0:00","bwS",NA,NA,NA,NA,NA,"15206-2113",2015,2,15212,40.460669,-80.01144
"6212",6212,59908,100,"CLd05 Annual Fund","12/21/2016 0:00","bwS","btS",NA,NA,NA,NA,"16046-4006",2013,12,15222,40.447036,-79.99313
"6213",6213,3004367,25,"CLd15 Annual Fund","7/9/2015 0:00","clS",NA,NA,NA,NA,NA,"28117-6051",2014,7,15147,40.498218,-79.83426
"6214",6214,555340,100,"CLd13 Annual Fund","3/3/2011 0:00",NA,NA,NA,NA,NA,NA,"15241-1721",2014,4,15317,40.26819,-80.16222
"6215",6215,3020488,100,"CLd12 Annual Fund","7/1/2013 0:00",NA,NA,NA,NA,NA,NA,"16066-6544",2011,7,15090,40.617016,-80.05916
"6216",6216,136874,25,"CLd16 Annual Fund","9/30/2013 0:00","clS","clS",NA,NA,NA,NA,"15232-1806",2014,10,15205,40.436618,-80.07289
"6217",6217,4069707,50,"CLd16 Annual Fund","12/3/2013 0:00","bwS",NA,NA,NA,NA,NA,NA,2003,10,32127,29.116361,-80.98175
"6218",6218,3964391,25,"CLd14 Annual Fund","9/30/2006 0:00",NA,NA,NA,NA,NA,NA,"15236-4572",2011,11,15238,40.518701,-79.86744
"6219",6219,115577,25,"CLd15 Annual Fund","5/11/1999 0:00",NA,NA,"btS",NA,NA,NA,"15233-1747",1999,5,16102,40.970991,-80.38291
"6220",6220,98672,50,"CLd14 Annual Fund","2/7/2013 0:00",NA,NA,NA,NA,NA,NA,"78664-7799",2013,3,15601,40.298765,-79.54126
"6221",6221,3081391,25,"CLd13 Annual Fund","4/14/2005 0:00","bwS",NA,NA,NA,NA,NA,"15537-1407",2011,3,15106,40.404119,-80.09014
"6222",6222,330532,0.75,"CLd15 Endowment","11/30/2007 0:00","clS","btS",NA,NA,NA,NA,"15214-1121",2016,7,15465,39.932084,-79.65217
"6223",6223,35053,50,"CLd12 Annual Fund","11/30/2015 0:00","bwS",NA,NA,NA,NA,NA,"15137-1912",2007,8,76262,33.000177,-97.21871
"6224",6224,3112501,100,"CLd17 Annual Fund","6/12/2014 0:00","clS",NA,NA,NA,NA,NA,"15222-3110",2016,3,15217,40.430919,-79.92569
"6225",6225,3099440,25,"CLd11 Annual Fund","4/30/2014 0:00","bwS",NA,NA,NA,NA,NA,"15108-9220",2013,4,15241,40.329619,-80.07364
"6226",6226,14977,100,"CLd12 Annual Fund","8/30/2010 0:00","btS",NA,NA,NA,NA,NA,"53202-2698",2015,7,95008,37.278843,-121.95446
"6227",6227,3856527,25,"CLd15 Annual Fund","7/25/2009 0:00",NA,"clS",NA,NA,"ptT",NA,"15552-1225",2015,8,15301,40.170663,-80.25185
"6228",6228,207490,35,"CLd06 Annual Fund","9/12/2012 0:00",NA,"ptS",NA,NA,NA,NA,"15090-7708",2011,6,15068,40.571108,-79.74226
"6229",6229,250252,500,"CLd17 Annual Fund","6/2/2016 0:00","ptS",NA,NA,NA,NA,NA,"15330-2690",1999,11,15317,40.26819,-80.16222
"6230",6230,3557779,100,"CLd13 Annual Fund","4/12/2016 0:00",NA,NA,NA,NA,NA,NA,"15213-3829",2014,10,15241,40.329619,-80.07364
"6231",6231,197016,100,"CLd02 Annual Fund","11/21/2001 0:00","clS",NA,NA,NA,NA,NA,"15234-2020",1998,9,16066,40.700423,-80.11374
"6232",6232,281526,25,"CLd06 Academy Fund","9/12/2002 0:00","clS",NA,NA,NA,NA,NA,"15239-2705",2009,6,15215,40.497701,-79.9157
"6233",6233,315862,35,"CLd16 Taste for Talent","7/12/2013 0:00",NA,NA,NA,NA,NA,NA,"15146-4919",2003,9,15317,40.26819,-80.16222
"6234",6234,3322513,250,"CLd16 Annual Fund","10/30/2012 0:00","clS",NA,NA,NA,NA,NA,"15143-8871",2016,4,15222,40.447036,-79.99313
"6235",6235,3306675,20,"CLd08 Annual Fund","9/6/2011 0:00","bwS",NA,NA,NA,NA,NA,"15022-1079",2016,3,15144,40.543053,-79.78223
"6236",6236,202304,100,"CLd14 Annual Fund","9/30/2010 0:00",NA,"clS",NA,NA,NA,NA,"16066-2825",2016,6,15650,40.299646,-79.38845
"6237",6237,3031958,1349.57,"CLd10 Wine Tasting & Auction","7/31/2015 0:00","clS",NA,NA,NA,NA,NA,"15241-2155",2000,7,15217,40.430919,-79.92569
"6238",6238,3384863,100,"CLd00 Annual Fund","12/31/2014 0:00",NA,NA,NA,NA,NA,NA,"16066-6544",2014,11,15237,40.552768,-80.03227
"6239",6239,3630991,50,"CLd13 Annual Fund","11/14/2011 0:00","bwS",NA,NA,NA,NA,NA,"15147-3877",1999,11,15143,40.561091,-80.15554
"6240",6240,3036195,25,"CLd14 Annual Fund","5/15/2008 0:00","btS",NA,NA,NA,NA,NA,"15215-3238",2007,8,15102,40.324535,-80.03864
"6241",6241,3074840,200,"CLd13 Annual Fund - Turnbacks","6/27/2016 0:00","clS",NA,NA,NA,NA,NA,"15613-8938",2016,7,15090,40.617016,-80.05916
"6242",6242,122632,250,"CLd14 Taste for Talent","2/22/2010 0:00","opT",NA,"poS",NA,NA,NA,"15237-4356",2010,12,15108,40.500665,-80.18464
"6243",6243,3160352,25,"CLd16 Annual Fund","2/4/2010 0:00",NA,"clS",NA,NA,NA,NA,"15084-3232",2013,2,15226,40.394002,-80.01655
"6244",6244,3386354,25,"CLd16 Annual Fund","3/20/2014 0:00",NA,NA,NA,NA,NA,NA,"15208-2740",2012,4,15057,40.357286,-80.23629
"6245",6245,3481002,50,"CLd11 Wine Tasting & Auction","7/12/2011 0:00",NA,NA,NA,NA,NA,NA,"15222",2016,10,15238,40.518701,-79.86744
"6246",6246,3468166,25,"CLd14 Annual Fund","11/3/2014 0:00","ptT",NA,NA,NA,NA,NA,"15333-2136",2014,7,16066,40.700423,-80.11374
"6247",6247,410867,50,"CLd09 Annual Fund","3/15/2016 0:00","clS",NA,NA,NA,NA,NA,"15218-1409",2016,10,15044,40.631011,-79.95766
"6248",6248,3466734,2000,"CLd13 Annual Fund","8/5/2015 0:00","clS",NA,NA,NA,NA,NA,"16046-4006",2015,3,15228,40.372802,-80.0448
"6249",6249,3031432,50,"CLd97 Annual Fund","10/30/2012 0:00",NA,NA,NA,NA,NA,NA,"29928-5614",2005,12,15126,40.454423,-80.26324
"6250",6250,423553,10,"CLd16 Annual Fund","6/24/2013 0:00",NA,NA,NA,NA,NA,NA,"15090-9420",2016,3,15116,40.533806,-79.96303
"6251",6251,3054476,25,"CLd13 Annual Fund","9/17/2015 0:00",NA,NA,NA,NA,NA,NA,"15229-1222",2014,9,15235,40.459518,-79.83277
"6252",6252,3918204,35,"CLd99 Annual Fund","10/25/2002 0:00","opT",NA,"btS",NA,NA,NA,"15221-4544",2014,4,15221,40.438035,-79.87191
"6253",6253,3017791,50,"CLd09 Wine Tasting","4/12/2004 0:00",NA,NA,NA,NA,NA,NA,"15211-1252",2014,7,15239,40.482655,-79.74278
"6254",6254,3048909,55,"CLd15 Annual Fund","5/22/2014 0:00",NA,"btS",NA,NA,NA,NA,"15317-0858",2013,9,15003,40.593917,-80.22181
"6255",6255,3705227,125,"CLd10 Annual Fund","7/9/2014 0:00","clS",NA,"ptS",NA,NA,NA,"15234-1113",2016,2,15090,40.617016,-80.05916
"6256",6256,3900840,60,"CLd00 Annual Fund","9/27/2013 0:00",NA,NA,NA,NA,NA,NA,"16066-7339",2014,9,15044,40.631011,-79.95766
"6257",6257,3437082,25,"CLd16 Annual Fund","2/20/2015 0:00","clS",NA,NA,NA,NA,NA,"15229-1072",2010,4,15601,40.298765,-79.54126
"6258",6258,3279958,100,"CLd16 Taste for Talent","7/9/2015 0:00",NA,NA,NA,NA,NA,NA,"15238-1513",1996,5,15226,40.394002,-80.01655
"6259",6259,3377252,25,"CLd15 Annual Fund","3/4/2016 0:00",NA,"ptT","btS",NA,NA,NA,"16046-4011",2002,11,15202,40.502918,-80.0704
"6260",6260,174945,7,"CLd14 Annual Fund","5/20/2013 0:00",NA,NA,NA,NA,NA,NA,"15142-1153",2013,7,15122,40.366177,-79.89418
"6261",6261,676810,100,"CLd16 Annual Fund","8/2/2009 0:00",NA,NA,NA,NA,NA,NA,"15143-8611",2012,12,15090,40.617016,-80.05916
"6262",6262,3041480,100,"CLd11 Annual Fund","10/31/2014 0:00","bwS",NA,NA,NA,NA,NA,"15243-1012",2011,9,15143,40.561091,-80.15554
"6263",6263,3124093,250,"CLd15 Annual Fund","8/12/2011 0:00","clS",NA,NA,NA,NA,NA,"44646-9344",2014,11,15089,40.211895,-79.75483
"6264",6264,3303325,50,"CLd16 Annual Fund","12/12/2000 0:00",NA,NA,"btS",NA,NA,NA,"95125-2210",2011,9,15217,40.430919,-79.92569
"6265",6265,139834,25,"CLd03 Annual Fund","6/29/2007 0:00",NA,NA,NA,NA,NA,NA,"15101-1918",2013,3,15301,40.170663,-80.25185
"6266",6266,3270740,50,"CLd16 Annual Fund","8/6/2014 0:00","bwS","ptS",NA,NA,NA,NA,"15642",2016,8,15143,40.561091,-80.15554
"6267",6267,4066030,25,"CLd96 Annual Fund","9/20/2013 0:00","bwS","ptS",NA,NA,NA,NA,"15237-1160",2015,9,15228,40.372802,-80.0448
"6268",6268,588054,150,"CLd16 Annual Fund","11/5/1996 0:00","clS","opT",NA,NA,NA,NA,"15017",2016,9,15090,40.617016,-80.05916
"6269",6269,3984382,25,"CLd14 Wine Tasting & Auction","4/25/2014 0:00",NA,NA,NA,NA,NA,NA,"15211-1925",2001,1,15131,40.341469,-79.81105
"6270",6270,313382,300,"CLd16 Annual Fund","11/9/2001 0:00","ptT",NA,NA,NA,NA,NA,"15440-1102",2000,10,15017,40.351802,-80.11534
"6271",6271,3643179,25,"CLd16 Annual Fund","5/13/2016 0:00",NA,NA,NA,NA,NA,NA,"15701-2258",2012,3,15201,40.471468,-79.95726
"6272",6272,3898181,250,"CLd13 Annual Fund","3/10/2016 0:00",NA,NA,NA,NA,NA,NA,"15238-1917",2014,10,15136,40.471618,-80.07695
"6273",6273,203171,150,"CLd14 Annual Fund","6/3/2010 0:00","bwS",NA,NA,NA,NA,NA,"15213-3646",2014,10,15301,40.170663,-80.25185
"6274",6274,3322513,200,"CLd04 Annual Fund","9/30/2014 0:00","bwS",NA,NA,NA,NA,NA,"15060-0425",2003,5,15228,40.372802,-80.0448
"6275",6275,48957,25,"CLd17 Taste for Talent","10/30/2015 0:00",NA,NA,NA,NA,NA,NA,"15131-2142",2015,8,26505,39.646497,-79.95154
"6276",6276,3384742,50,"CLd13 Wine Tasting & Auction","5/7/2010 0:00","clS",NA,NA,NA,NA,NA,"15237-1608",2003,10,15143,40.561091,-80.15554
"6277",6277,3926455,50,"CLd17 Annual Fund","6/19/2008 0:00",NA,NA,NA,NA,NA,NA,"15090-9400",2014,9,15317,40.26819,-80.16222
"6278",6278,237475,10,"CLd11 Annual Fund","9/24/2012 0:00","clS","ptT",NA,NA,NA,NA,"15143-9330",2013,9,15044,40.631011,-79.95766
"6279",6279,332488,150,"CLd16 Cerveris Cabaret Event","8/23/2007 0:00",NA,NA,NA,NA,NA,NA,"15202-1034",2002,11,15232,40.454018,-79.9325
"6280",6280,3285715,50,"CLd10 Special Projects","9/19/2014 0:00",NA,NA,"btS",NA,NA,NA,"15133-2507",2015,8,15241,40.329619,-80.07364
"6281",6281,150619,20,"CLd12 Annual Fund","1/12/2015 0:00",NA,"clS",NA,NA,NA,NA,"15944-2227",2016,4,16002,40.818663,-79.86119
"6282",6282,4047986,100,"CLd17 Annual Fund","12/23/2015 0:00","clS",NA,NA,NA,NA,NA,"15227-3740",2011,3,15101,40.570915,-79.96033
"6283",6283,638329,25,"CLd14 Annual Fund","4/9/2014 0:00",NA,"btS",NA,NA,NA,NA,"15236-2762",2016,8,16803,40.802661,-77.89936
"6284",6284,4075938,100,"CLd11 Annual Fund","11/20/2006 0:00","clS",NA,NA,NA,NA,NA,"30240-8336",2016,5,15142,40.379549,-80.12451
"6285",6285,3790217,250,"CLd15 Annual Fund","2/27/2006 0:00",NA,NA,NA,NA,NA,NA,"15301-8109",2001,2,15147,40.498218,-79.83426
"6286",6286,215181,100,"CLd08 Annual Fund","11/20/2015 0:00",NA,NA,NA,NA,NA,NA,"15317-6227",2006,11,15237,40.552768,-80.03227
"6287",6287,3993265,220,"CLd11 Annual Fund","4/20/2016 0:00",NA,NA,NA,NA,NA,NA,"15143-8903",2010,6,15216,40.400319,-80.03566
"6288",6288,252784,25,"CLd16 Annual Fund","11/3/2015 0:00","clS",NA,NA,"ptT",NA,NA,"15317",1999,8,15668,40.451664,-79.67948
"6289",6289,512403,25,"CLd02 Annual Fund","1/17/2002 0:00",NA,"btS",NA,NA,NA,NA,"15108-2139",1998,6,15237,40.552768,-80.03227
"6290",6290,26632,200,"CLd16 Annual Fund","12/7/2015 0:00",NA,NA,"opT",NA,NA,NA,"15217-2733",2013,7,15243,40.372669,-80.0712
"6291",6291,9602,250,"CLd16 Annual Fund","9/30/2013 0:00",NA,"clS",NA,NA,NA,NA,"15857-1423",2013,7,15213,40.443269,-79.95487
"6292",6292,284472,25,"CLd17 Wine Tasting & Auction","8/5/2016 0:00",NA,NA,NA,NA,NA,NA,"15301-6618",2009,9,15084,40.61357,-79.78095
"6293",6293,3899714,1500,"CLd98 Annual Fund","12/12/2014 0:00",NA,NA,NA,NA,NA,NA,"16146-3844",2006,11,16057,41.047157,-80.05506
"6294",6294,4856,75,"CLd14 Annual Fund","5/25/2016 0:00","clS",NA,NA,NA,NA,NA,"15235-4722",2000,6,15221,40.438035,-79.87191
"6295",6295,282659,50,"CLd14 Annual Fund","4/5/2000 0:00","btS",NA,NA,NA,NA,NA,"15022-9437",2007,8,15243,40.372669,-80.0712
"6296",6296,3027481,100,"CLd13 Annual Fund","11/22/2005 0:00",NA,NA,NA,NA,NA,NA,"15650-1610",2013,11,44425,41.166743,-80.57733
"6297",6297,3288073,20,"CLd98 Annual Fund","6/17/2008 0:00","clS",NA,NA,NA,NA,NA,"15213-2900",2013,3,15143,40.561091,-80.15554
"6298",6298,48456,25,"CLd13 Annual Fund","5/22/2014 0:00","clS","ptT",NA,NA,NA,NA,"15224",2014,3,15101,40.570915,-79.96033
"6299",6299,3160352,100,"CLd13 Annual Fund","3/14/2014 0:00","btS",NA,NA,NA,NA,NA,"16601-3036",2013,9,15024,40.569723,-79.83242
"6300",6300,589420,25,"CLd05 Annual Fund","8/25/2004 0:00",NA,NA,NA,NA,NA,NA,"16046-4011",2014,8,15106,40.404119,-80.09014
"6301",6301,3135940,1,"CLd08 Annual Fund","3/6/2000 0:00",NA,NA,NA,NA,NA,NA,"15243-1153",2006,7,15143,40.561091,-80.15554
"6302",6302,3614825,50,"CLd14 Annual Fund","8/21/2012 0:00",NA,NA,NA,NA,NA,NA,"15215-1516",2011,11,15658,40.247351,-79.22882
"6303",6303,3040884,150,"CLd09 Annual Fund","10/27/2016 0:00",NA,NA,NA,NA,NA,NA,"15666-1247",2013,9,15217,40.430919,-79.92569
"6304",6304,3002555,50,"CLd06 Annual Fund","9/23/2010 0:00",NA,NA,NA,NA,NA,NA,"44120-1408",2012,5,2111,NA,NA
"6305",6305,48456,5000,"CLd03 Annual Fund","1/29/2017 0:00",NA,NA,NA,NA,NA,NA,"15238-1935",2014,8,15136,40.471618,-80.07695
"6306",6306,333325,25,"CLd16 Annual Fund","3/26/2012 0:00","bwS",NA,NA,NA,NA,NA,"15042-2670",2014,8,15301,40.170663,-80.25185
"6307",6307,3273470,100,"CLd02 Annual Fund","12/31/2016 0:00",NA,NA,NA,NA,NA,NA,"15243-1572",2015,8,15317,40.26819,-80.16222
"6308",6308,284656,25,"CLd14 Annual Fund","5/14/2014 0:00",NA,NA,NA,NA,NA,NA,"15644-4748",2006,5,15238,40.518701,-79.86744
